2023-07-03 06:44:37 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 06:48:12 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 06:48:53 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 06:49:24 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 06:52:09 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 06:52:41 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 11:41:53 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 11:42:44 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 11:49:09 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 12:03:13 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 12:04:14 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 12:05:06 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 12:10:12 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 12:18:57 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 12:19:12 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 12:25:19 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 12:26:22 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 21:16:07 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
2023-07-03 21:16:55 File:/www/wwwroot/ws.api-huobi.cc/app/LeverTransaction.php, Line:695, Message:error_log(/www/wwwroot/ws.api-huobi.cc/storage/logs/lever1/20230703.log): failed to open stream: Permission denied
